projection1												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	3	2	0	15	19	18	16	31
	2	1000uA	10kHz	x255	3	2	1	0	19	18	17	16
	3	1000uA	10kHz	x255	3	2	2	1	19	18	18	17
	4	1000uA	10kHz	x255	3	2	3	2	19	18	19	18
	5	1000uA	10kHz	x255	3	2	4	3	19	18	20	19
	6	1000uA	10kHz	x255	3	2	5	4	19	18	21	20
	7	1000uA	10kHz	x255	3	2	6	5	19	18	22	21
	8	1000uA	10kHz	x255	3	2	7	6	19	18	23	22
	9	1000uA	10kHz	x255	3	2	8	7	19	18	24	23
	10	1000uA	10kHz	x255	3	2	9	8	19	18	25	24
	11	1000uA	10kHz	x255	3	2	10	9	19	18	26	25
	12	1000uA	10kHz	x255	3	2	11	10	19	18	27	26
	13	1000uA	10kHz	x255	3	2	12	11	19	18	28	27
	14	1000uA	10kHz	x255	3	2	13	12	19	18	29	28
	15	1000uA	10kHz	x255	3	2	14	13	19	18	30	29
	16	1000uA	10kHz	x255	3	2	15	14	19	18	31	30
end												
projection5												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	4	3	0	15	20	19	16	31
	2	1000uA	10kHz	x255	4	3	1	0	20	19	17	16
	3	1000uA	10kHz	x255	4	3	2	1	20	19	18	17
	4	1000uA	10kHz	x255	4	3	3	2	20	19	19	18
	5	1000uA	10kHz	x255	4	3	4	3	20	19	20	19
	6	1000uA	10kHz	x255	4	3	5	4	20	19	21	20
	7	1000uA	10kHz	x255	4	3	6	5	20	19	22	21
	8	1000uA	10kHz	x255	4	3	7	6	20	19	23	22
	9	1000uA	10kHz	x255	4	3	8	7	20	19	24	23
	10	1000uA	10kHz	x255	4	3	9	8	20	19	25	24
	11	1000uA	10kHz	x255	4	3	10	9	20	19	26	25
	12	1000uA	10kHz	x255	4	3	11	10	20	19	27	26
	13	1000uA	10kHz	x255	4	3	12	11	20	19	28	27
	14	1000uA	10kHz	x255	4	3	13	12	20	19	29	28
	15	1000uA	10kHz	x255	4	3	14	13	20	19	30	29
	16	1000uA	10kHz	x255	4	3	15	14	20	19	31	30
end												
projection6												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	5	4	0	15	21	20	16	31
	2	1000uA	10kHz	x255	5	4	1	0	21	20	17	16
	3	1000uA	10kHz	x255	5	4	2	1	21	20	18	17
	4	1000uA	10kHz	x255	5	4	3	2	21	20	19	18
	5	1000uA	10kHz	x255	5	4	4	3	21	20	20	19
	6	1000uA	10kHz	x255	5	4	5	4	21	20	21	20
	7	1000uA	10kHz	x255	5	4	6	5	21	20	22	21
	8	1000uA	10kHz	x255	5	4	7	6	21	20	23	22
	9	1000uA	10kHz	x255	5	4	8	7	21	20	24	23
	10	1000uA	10kHz	x255	5	4	9	8	21	20	25	24
	11	1000uA	10kHz	x255	5	4	10	9	21	20	26	25
	12	1000uA	10kHz	x255	5	4	11	10	21	20	27	26
	13	1000uA	10kHz	x255	5	4	12	11	21	20	28	27
	14	1000uA	10kHz	x255	5	4	13	12	21	20	29	28
	15	1000uA	10kHz	x255	5	4	14	13	21	20	30	29
	16	1000uA	10kHz	x255	5	4	15	14	21	20	31	30
end												
projection7												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	6	5	0	15	22	21	16	31
	2	1000uA	10kHz	x255	6	5	1	0	22	21	17	16
	3	1000uA	10kHz	x255	6	5	2	1	22	21	18	17
	4	1000uA	10kHz	x255	6	5	3	2	22	21	19	18
	5	1000uA	10kHz	x255	6	5	4	3	22	21	20	19
	6	1000uA	10kHz	x255	6	5	5	4	22	21	21	20
	7	1000uA	10kHz	x255	6	5	6	5	22	21	22	21
	8	1000uA	10kHz	x255	6	5	7	6	22	21	23	22
	9	1000uA	10kHz	x255	6	5	8	7	22	21	24	23
	10	1000uA	10kHz	x255	6	5	9	8	22	21	25	24
	11	1000uA	10kHz	x255	6	5	10	9	22	21	26	25
	12	1000uA	10kHz	x255	6	5	11	10	22	21	27	26
	13	1000uA	10kHz	x255	6	5	12	11	22	21	28	27
	14	1000uA	10kHz	x255	6	5	13	12	22	21	29	28
	15	1000uA	10kHz	x255	6	5	14	13	22	21	30	29
	16	1000uA	10kHz	x255	6	5	15	14	22	21	31	30
end												
projection8												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	7	6	0	15	23	22	16	31
	2	1000uA	10kHz	x255	7	6	1	0	23	22	17	16
	3	1000uA	10kHz	x255	7	6	2	1	23	22	18	17
	4	1000uA	10kHz	x255	7	6	3	2	23	22	19	18
	5	1000uA	10kHz	x255	7	6	4	3	23	22	20	19
	6	1000uA	10kHz	x255	7	6	5	4	23	22	21	20
	7	1000uA	10kHz	x255	7	6	6	5	23	22	22	21
	8	1000uA	10kHz	x255	7	6	7	6	23	22	23	22
	9	1000uA	10kHz	x255	7	6	8	7	23	22	24	23
	10	1000uA	10kHz	x255	7	6	9	8	23	22	25	24
	11	1000uA	10kHz	x255	7	6	10	9	23	22	26	25
	12	1000uA	10kHz	x255	7	6	11	10	23	22	27	26
	13	1000uA	10kHz	x255	7	6	12	11	23	22	28	27
	14	1000uA	10kHz	x255	7	6	13	12	23	22	29	28
	15	1000uA	10kHz	x255	7	6	14	13	23	22	30	29
	16	1000uA	10kHz	x255	7	6	15	14	23	22	31	30
end												
projection9												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	8	7	0	15	24	23	16	31
	2	1000uA	10kHz	x255	8	7	1	0	24	23	17	16
	3	1000uA	10kHz	x255	8	7	2	1	24	23	18	17
	4	1000uA	10kHz	x255	8	7	3	2	24	23	19	18
	5	1000uA	10kHz	x255	8	7	4	3	24	23	20	19
	6	1000uA	10kHz	x255	8	7	5	4	24	23	21	20
	7	1000uA	10kHz	x255	8	7	6	5	24	23	22	21
	8	1000uA	10kHz	x255	8	7	7	6	24	23	23	22
	9	1000uA	10kHz	x255	8	7	8	7	24	23	24	23
	10	1000uA	10kHz	x255	8	7	9	8	24	23	25	24
	11	1000uA	10kHz	x255	8	7	10	9	24	23	26	25
	12	1000uA	10kHz	x255	8	7	11	10	24	23	27	26
	13	1000uA	10kHz	x255	8	7	12	11	24	23	28	27
	14	1000uA	10kHz	x255	8	7	13	12	24	23	29	28
	15	1000uA	10kHz	x255	8	7	14	13	24	23	30	29
	16	1000uA	10kHz	x255	8	7	15	14	24	23	31	30
end												
projection10												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	9	8	0	15	25	24	16	31
	2	1000uA	10kHz	x255	9	8	1	0	25	24	17	16
	3	1000uA	10kHz	x255	9	8	2	1	25	24	18	17
	4	1000uA	10kHz	x255	9	8	3	2	25	24	19	18
	5	1000uA	10kHz	x255	9	8	4	3	25	24	20	19
	6	1000uA	10kHz	x255	9	8	5	4	25	24	21	20
	7	1000uA	10kHz	x255	9	8	6	5	25	24	22	21
	8	1000uA	10kHz	x255	9	8	7	6	25	24	23	22
	9	1000uA	10kHz	x255	9	8	8	7	25	24	24	23
	10	1000uA	10kHz	x255	9	8	9	8	25	24	25	24
	11	1000uA	10kHz	x255	9	8	10	9	25	24	26	25
	12	1000uA	10kHz	x255	9	8	11	10	25	24	27	26
	13	1000uA	10kHz	x255	9	8	12	11	25	24	28	27
	14	1000uA	10kHz	x255	9	8	13	12	25	24	29	28
	15	1000uA	10kHz	x255	9	8	14	13	25	24	30	29
	16	1000uA	10kHz	x255	9	8	15	14	25	24	31	30
end												
projection11												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	10	9	0	15	26	25	16	31
	2	1000uA	10kHz	x255	10	9	1	0	26	25	17	16
	3	1000uA	10kHz	x255	10	9	2	1	26	25	18	17
	4	1000uA	10kHz	x255	10	9	3	2	26	25	19	18
	5	1000uA	10kHz	x255	10	9	4	3	26	25	20	19
	6	1000uA	10kHz	x255	10	9	5	4	26	25	21	20
	7	1000uA	10kHz	x255	10	9	6	5	26	25	22	21
	8	1000uA	10kHz	x255	10	9	7	6	26	25	23	22
	9	1000uA	10kHz	x255	10	9	8	7	26	25	24	23
	10	1000uA	10kHz	x255	10	9	9	8	26	25	25	24
	11	1000uA	10kHz	x255	10	9	10	9	26	25	26	25
	12	1000uA	10kHz	x255	10	9	11	10	26	25	27	26
	13	1000uA	10kHz	x255	10	9	12	11	26	25	28	27
	14	1000uA	10kHz	x255	10	9	13	12	26	25	29	28
	15	1000uA	10kHz	x255	10	9	14	13	26	25	30	29
	16	1000uA	10kHz	x255	10	9	15	14	26	25	31	30
end												
projection12												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	11	10	0	15	27	26	16	31
	2	1000uA	10kHz	x255	11	10	1	0	27	26	17	16
	3	1000uA	10kHz	x255	11	10	2	1	27	26	18	17
	4	1000uA	10kHz	x255	11	10	3	2	27	26	19	18
	5	1000uA	10kHz	x255	11	10	4	3	27	26	20	19
	6	1000uA	10kHz	x255	11	10	5	4	27	26	21	20
	7	1000uA	10kHz	x255	11	10	6	5	27	26	22	21
	8	1000uA	10kHz	x255	11	10	7	6	27	26	23	22
	9	1000uA	10kHz	x255	11	10	8	7	27	26	24	23
	10	1000uA	10kHz	x255	11	10	9	8	27	26	25	24
	11	1000uA	10kHz	x255	11	10	10	9	27	26	26	25
	12	1000uA	10kHz	x255	11	10	11	10	27	26	27	26
	13	1000uA	10kHz	x255	11	10	12	11	27	26	28	27
	14	1000uA	10kHz	x255	11	10	13	12	27	26	29	28
	15	1000uA	10kHz	x255	11	10	14	13	27	26	30	29
	16	1000uA	10kHz	x255	11	10	15	14	27	26	31	30
end												
projection13												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	12	11	0	15	28	27	16	31
	2	1000uA	10kHz	x255	12	11	1	0	28	27	17	16
	3	1000uA	10kHz	x255	12	11	2	1	28	27	18	17
	4	1000uA	10kHz	x255	12	11	3	2	28	27	19	18
	5	1000uA	10kHz	x255	12	11	4	3	28	27	20	19
	6	1000uA	10kHz	x255	12	11	5	4	28	27	21	20
	7	1000uA	10kHz	x255	12	11	6	5	28	27	22	21
	8	1000uA	10kHz	x255	12	11	7	6	28	27	23	22
	9	1000uA	10kHz	x255	12	11	8	7	28	27	24	23
	10	1000uA	10kHz	x255	12	11	9	8	28	27	25	24
	11	1000uA	10kHz	x255	12	11	10	9	28	27	26	25
	12	1000uA	10kHz	x255	12	11	11	10	28	27	27	26
	13	1000uA	10kHz	x255	12	11	12	11	28	27	28	27
	14	1000uA	10kHz	x255	12	11	13	12	28	27	29	28
	15	1000uA	10kHz	x255	12	11	14	13	28	27	30	29
	16	1000uA	10kHz	x255	12	11	15	14	28	27	31	30
end												
projection14												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	13	12	0	15	29	28	16	31
	2	1000uA	10kHz	x255	13	12	1	0	29	28	17	16
	3	1000uA	10kHz	x255	13	12	2	1	29	28	18	17
	4	1000uA	10kHz	x255	13	12	3	2	29	28	19	18
	5	1000uA	10kHz	x255	13	12	4	3	29	28	20	19
	6	1000uA	10kHz	x255	13	12	5	4	29	28	21	20
	7	1000uA	10kHz	x255	13	12	6	5	29	28	22	21
	8	1000uA	10kHz	x255	13	12	7	6	29	28	23	22
	9	1000uA	10kHz	x255	13	12	8	7	29	28	24	23
	10	1000uA	10kHz	x255	13	12	9	8	29	28	25	24
	11	1000uA	10kHz	x255	13	12	10	9	29	28	26	25
	12	1000uA	10kHz	x255	13	12	11	10	29	28	27	26
	13	1000uA	10kHz	x255	13	12	12	11	29	28	28	27
	14	1000uA	10kHz	x255	13	12	13	12	29	28	29	28
	15	1000uA	10kHz	x255	13	12	14	13	29	28	30	29
	16	1000uA	10kHz	x255	13	12	15	14	29	28	31	30
end												
projection15												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	14	13	0	15	30	29	16	31
	2	1000uA	10kHz	x255	14	13	1	0	30	29	17	16
	3	1000uA	10kHz	x255	14	13	2	1	30	29	18	17
	4	1000uA	10kHz	x255	14	13	3	2	30	29	19	18
	5	1000uA	10kHz	x255	14	13	4	3	30	29	20	19
	6	1000uA	10kHz	x255	14	13	5	4	30	29	21	20
	7	1000uA	10kHz	x255	14	13	6	5	30	29	22	21
	8	1000uA	10kHz	x255	14	13	7	6	30	29	23	22
	9	1000uA	10kHz	x255	14	13	8	7	30	29	24	23
	10	1000uA	10kHz	x255	14	13	9	8	30	29	25	24
	11	1000uA	10kHz	x255	14	13	10	9	30	29	26	25
	12	1000uA	10kHz	x255	14	13	11	10	30	29	27	26
	13	1000uA	10kHz	x255	14	13	12	11	30	29	28	27
	14	1000uA	10kHz	x255	14	13	13	12	30	29	29	28
	15	1000uA	10kHz	x255	14	13	14	13	30	29	30	29
	16	1000uA	10kHz	x255	14	13	15	14	30	29	31	30
end												
projection16												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	15	14	0	15	31	30	16	31
	2	1000uA	10kHz	x255	15	14	1	0	31	30	17	16
	3	1000uA	10kHz	x255	15	14	2	1	31	30	18	17
	4	1000uA	10kHz	x255	15	14	3	2	31	30	19	18
	5	1000uA	10kHz	x255	15	14	4	3	31	30	20	19
	6	1000uA	10kHz	x255	15	14	5	4	31	30	21	20
	7	1000uA	10kHz	x255	15	14	6	5	31	30	22	21
	8	1000uA	10kHz	x255	15	14	7	6	31	30	23	22
	9	1000uA	10kHz	x255	15	14	8	7	31	30	24	23
	10	1000uA	10kHz	x255	15	14	9	8	31	30	25	24
	11	1000uA	10kHz	x255	15	14	10	9	31	30	26	25
	12	1000uA	10kHz	x255	15	14	11	10	31	30	27	26
	13	1000uA	10kHz	x255	15	14	12	11	31	30	28	27
	14	1000uA	10kHz	x255	15	14	13	12	31	30	29	28
	15	1000uA	10kHz	x255	15	14	14	13	31	30	30	29
	16	1000uA	10kHz	x255	15	14	15	14	31	30	31	30
end												
projection17												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection18												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection19												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection20												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection21												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection22												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection23												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection24												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
